X,Y
5.335553,-2.5
5.335555,-2.5
5.335557,-2.5
5.335557,-2.5
5.335558,-2.5
5.335559,-2.5
5.33556,-2.5
5.335561,-2.5
5.335562,-2.5
5.335562,-2.5
5.335562,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.335563,-2.5
5.336571,-2.531588
5.336571,-2.391784
5.336571,-2.391784
5.336571,-2.25198
5.336571,-2.112176
5.336571,-1.972373
5.336571,-1.832569
5.336571,-1.692765
5.336571,-1.692765
5.336571,-1.552961
5.336571,-1.413158
5.336571,-1.273354
5.336571,-1.13355
5.336571,-0.9937463
5.336571,-0.9937463
5.336571,-0.8539425
5.336571,-0.7141387
5.336571,-0.574335
5.336571,-0.4345312
5.336571,-0.2947274
5.336571,-0.2947274
5.336571,-0.1549236
5.336571,-0.01511979
5.336571,0.124684
5.336571,0.2644878
5.336571,0.3763334
5.336571,0.3763334
5.336571,0.2361372
5.336571,0.09594104
5.336571,-0.04425515
5.336571,-0.1844513
5.336571,-0.3246475
5.336571,-0.3246475
5.336571,-0.4648438
5.336571,-0.60504
5.336571,-0.7452362
5.336571,-0.8854324
5.336571,-1.025629
5.336571,-1.025629
5.336571,-1.165825
5.336571,-1.306021
5.336571,-1.446217
5.336571,-1.586413
5.336571,-1.72661
5.336571,-1.72661
5.336571,-1.866806
5.336571,-2.007002
5.336571,-2.147198
5.336571,-2.287394
5.336571,-2.42759
5.336571,-2.42759
5.336571,-2.567786
5.338411,-2.492642
5.340912,-2.352861
5.343099,-2.213079
5.344972,-2.073293
5.344972,-2.073293
5.346531,-1.933501
5.348094,-1.793706
5.349342,-1.653911
5.350277,-1.514113
5.350897,-1.374313
5.350897,-1.374313
5.351204,-1.23451
5.351511,-1.094707
5.351506,-0.9549031
5.351186,-0.8150992
5.350553,-0.6752958
5.350553,-0.6752958
5.349606,-0.5354935
5.348657,-0.3956929
5.347395,-0.2558923
5.345819,-0.1160942
5.343929,0.02370067
5.343929,0.02370067
5.341726,0.1634917
5.33952,0.3032781
5.337,0.4430645
5.334166,0.5828455
5.331018,0.7226205
5.331018,0.7226205
5.327557,0.8623888
5.324091,1.00215
5.320311,1.14191
5.316217,1.281663
5.31181,1.421407
5.31181,1.421407
5.30709,1.561141
5.302363,1.700865
5.297323,1.840589
5.271969,1.980302
5.226665,2.117856
5.226665,2.117856
5.162561,2.250633
5.081694,2.376512
4.985718,2.494104
4.856889,2.602369
4.70971,2.691936
4.70971,2.691936
4.550115,2.764217
4.382585,2.821779
4.210182,2.86677
4.034719,2.901621
3.857401,2.928396
3.857401,2.928396
3.678971,2.948799
3.499877,2.964507
3.320412,2.976241
