X,Y
-0.8417955,-2.5
-0.8417809,-2.5
-0.8417692,-2.5
-0.8417692,-2.5
-0.8417599,-2.5
-0.8417524,-2.5
-0.8417464,-2.5
-0.8417417,-2.5
-0.8417417,-2.5
-0.8417379,-2.5
-0.8417348,-2.5
-0.8417324,-2.5
-0.8417304,-2.5
-0.8417289,-2.5
-0.8417289,-2.5
-0.8417276,-2.5
-0.8417266,-2.5
-0.8417258,-2.5
-0.8417251,-2.5
-0.8417246,-2.5
-0.8417242,-2.5
-0.8417242,-2.5
-0.8417239,-2.5
-0.8417236,-2.5
-0.8417236,-2.526291
-0.8417236,-2.526291
-0.8417236,-2.206879
-0.8417236,-2.206879
-0.8417236,-2.047075
-0.8417236,-1.887272
-0.8417236,-1.727468
-0.8417236,-1.567664
-0.8417236,-1.567664
-0.8417236,-1.40786
-0.8417236,-1.248057
-0.8417236,-1.088253
-0.8417236,-0.928449
-0.8417236,-0.7686452
-0.8417236,-0.7686452
-0.8417236,-0.6088414
-0.8417236,-0.4490376
-0.8417236,-0.2892337
-0.8417236,-0.12943
-0.8417236,0.03037384
-0.8417236,0.03037384
-0.8417236,0.1901776
-0.8417236,0.3499814
-0.8417236,0.5097852
-0.8417236,0.669589
-0.8417236,0.669589
-0.8417236,0.8293929
-0.8417236,0.9891967
-0.8417236,1.149
-0.8417236,1.308804
-0.8417236,1.468608
-0.8417236,1.468608
-0.8417236,1.628412
-0.8417236,1.788215
-0.8417236,1.948019
-0.8417236,2.107823
-0.8417236,2.267627
-0.8417236,2.267627
-0.8417236,2.427431
-0.8417236,2.587234
-0.8417236,2.747038
-0.8417236,2.906842
-0.8417236,3.066646
-0.8417236,3.066646
-0.8417236,3.22645
-0.8417236,3.386254
-0.8417236,3.546058
-0.8417236,3.705862
-0.8417236,3.865665
-0.8417236,3.865665
-0.8417236,4.025469
-0.8417236,4.185273
-0.8417236,4.345077
-0.8417236,4.294776
-0.8417236,4.13458
-0.8417236,3.974383
-0.8417236,3.974383
-0.8417236,3.814187
-0.8417236,3.653991
-0.8417236,3.493794
-0.8417236,3.333598
-0.8417236,3.173402
-0.8417236,3.173402
-0.8417236,3.013206
-0.8417236,2.853009
-0.8417236,2.692813
-0.8417236,2.532617
-0.8417236,2.37242
-0.8417236,2.37242
-0.8417236,2.212224
-0.8417236,2.052028
-0.8417236,1.891832
-0.8417236,1.731635
-0.8417236,1.571439
-0.8417236,1.571439
-0.8417236,1.411243
-0.8417236,1.251047
-0.8417236,1.090851
-0.8417236,0.9306544
-0.8417236,0.9306544
-0.8417236,0.7704582
-0.8417236,0.610262
-0.8417236,0.4500659
-0.8417236,0.2898697
-0.8417236,0.1296735
-0.8417236,-0.03052273
-0.8417236,-0.03052273
-0.8417236,-0.1907189
-0.8417236,-0.3509151
-0.8417236,-0.5111113
-0.8417236,-0.6713075
-0.8417236,-0.6713075
-0.8417236,-0.8315037
-0.8417236,-0.9916999
-0.8417236,-1.151896
-0.8417236,-1.312092
-0.8417236,-1.472288
-0.8417236,-1.632485
-0.8417236,-1.792681
-0.8417236,-1.792681
-0.8417236,-1.952877
-0.8417236,-2.113073
-0.8417236,-2.27327
-0.8417236,-2.27327
-0.8417236,-2.433466
-0.8417236,-2.593662
-0.7586614,-2.433466
-0.6850123,-2.29162
-0.6218255,-2.149817
-0.5672365,-2.003865
-0.5672365,-2.003865
-0.5217088,-1.854201
-0.475144,-1.701323
-0.4390258,-1.548461
-0.4127252,-1.392945
-0.4127252,-1.392945
-0.3965261,-1.235381
-0.3801627,-1.076417
-0.3720256,-0.9174538
-0.3742945,-0.7578592
-0.3835,-0.5980716
-0.3835,-0.5980716
-0.4031319,-0.4385327
-0.4226732,-0.2799267
-0.4526458,-0.1213236
-0.4927536,0.03569748
-0.5427389,0.190524
-0.6022725,0.3425893
-0.6022725,0.3425893
-0.6709675,0.4913821
-0.738034,0.6364515
-0.8155206,0.7814863
-0.9012504,0.9224121
-0.9012504,0.9224121
-0.9947317,1.05891
-1.085139,1.190723
-1.185943,1.322473
-1.293461,1.44935
-1.407185,1.571219
-1.526619,1.688001
-1.526619,1.688001
-1.641019,1.78747
-1.761761,1.892256
-1.882601,1.986688
-2.008671,2.07478
-2.008671,2.07478
-2.139825,2.156006
-2.275851,2.240053
-2.411965,2.313756
-2.552662,2.379553
-2.697597,2.436954
-2.846355,2.485503
-2.846355,2.485503
-2.99846,2.52331
-3.153735,2.561709
-3.309056,2.589782
-3.466505,2.607913
-3.466505,2.607913
-3.625455,2.6159
-3.785253,2.623734
-3.945061,2.621272
-4.105042,2.608522
-4.264537,2.585536
-4.264537,2.585536
-4.422901,2.552446
-4.579518,2.519524
-4.646404,2.640958
-4.694098,2.795909
-4.749254,2.948633
-4.749254,2.948633
-4.808312,3.098924
-4.866829,3.247643
-4.933477,3.396335
-5.006975,3.542143
-5.08704,3.684822
-5.08704,3.684822
