X,Y
-5.092255,-2.5
-5.09226,-2.5
-5.092265,-2.5
-5.092265,-2.5
-5.092268,-2.5
-5.092271,-2.5
-5.092273,-2.5
-5.092275,-2.5
-5.092277,-2.5
-5.092277,-2.5
-5.092278,-2.5
-5.092278,-2.5
-5.092279,-2.5
-5.092279,-2.5
-5.09228,-2.5
-5.09228,-2.5
-5.09228,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.5
-5.092281,-2.527076
-5.092281,-2.367272
-5.092281,-2.367272
-5.092281,-2.207468
-5.092281,-2.047664
-5.092281,-1.88786
-5.092281,-1.728056
-5.092281,-1.568253
-5.092281,-1.408449
-5.092281,-1.408449
-5.092281,-1.248645
-5.092281,-1.088841
-5.092281,-0.9290376
-5.092281,-0.7692338
-5.092281,-0.7692338
-5.092281,-0.60943
-5.092281,-0.4496262
-5.092281,-0.2898224
-5.092281,-0.1300186
-5.092281,0.02978519
-5.092281,0.189589
-5.092281,0.189589
-5.092281,0.3493928
-5.092281,0.5091966
-5.092281,0.6690004
-5.092281,0.8288042
-5.092281,0.988608
-5.092281,0.988608
-5.092281,1.148412
-5.092281,1.308215
-5.092281,1.468019
-5.092281,1.627823
-5.092281,1.787627
-5.092281,1.787627
-5.092281,1.94743
-5.092281,1.787627
-5.092281,1.627431
-5.092281,1.467234
-5.092281,1.307038
-5.092281,1.307038
-5.092281,1.146842
-5.092281,0.9866458
-5.092281,0.8264496
-5.092281,0.6662534
-5.092281,0.5060573
-5.092281,0.5060573
-5.092281,0.3458611
-5.092281,0.1856649
-5.092281,0.02546868
-5.092281,-0.1347275
-5.092281,-0.2949237
-5.092281,-0.2949237
-5.092281,-0.4551199
-5.092281,-0.6153161
-5.092281,-0.7755123
-5.092281,-0.9357085
-5.092281,-1.095905
-5.092281,-1.095905
-5.092281,-1.256101
-5.092281,-1.416297
-5.092281,-1.576493
-5.092281,-1.736689
-5.092281,-1.896886
-5.092281,-1.896886
-5.092281,-2.057082
-5.092281,-2.217278
-5.092281,-2.377475
-5.092281,-2.537671
-5.151015,-2.502758
-5.151015,-2.502758
-5.236539,-2.367729
-5.322151,-2.232757
-5.395055,-2.097841
-5.458334,-1.957274
-5.458334,-1.957274
-5.511243,-1.811572
-5.565855,-1.661377
-5.607783,-1.511204
-5.638078,-1.357294
-5.654324,-1.200503
-5.658105,-1.041551
-5.658105,-1.041551
-5.649215,-0.8817925
-5.640326,-0.7222359
-5.618756,-0.5626798
-5.584664,-0.4043183
-5.538347,-0.2480981
-5.538347,-0.2480981
-5.480234,-0.09489448
-5.423488,0.05450854
-5.354071,0.2038868
-5.274049,0.3487885
-5.274049,0.3487885
-5.184118,0.4886537
-5.097585,0.6230384
-4.998405,0.7573656
-4.890825,0.885886
-4.775595,1.00838
-4.655491,1.124723
-4.655491,1.124723
-4.540569,1.223345
-4.419149,1.327347
-4.297633,1.418754
-4.169769,1.502269
-4.035812,1.577113
-4.035812,1.577113
-3.896134,1.642513
-3.751231,1.710164
-3.606254,1.768575
-3.457846,1.815763
-3.305368,1.851657
-3.149626,1.87574
-3.149626,1.87574
-2.991505,1.887624
-2.831955,1.89942
-2.67239,1.898676
-2.67239,1.898676
-2.512392,1.885402
-2.35294,1.871976
-2.193504,1.846049
-2.035579,1.807876
-1.880058,1.757803
-1.727757,1.701351
-1.727757,1.701351
-1.577732,1.633286
-1.432026,1.566984
-1.286394,1.488285
-1.145633,1.39899
-1.010526,1.300875
-0.8810617,1.194464
-0.8810617,1.194464
-0.7574559,1.080489
-0.6398295,0.9718307
-0.5223008,0.8509068
-0.4229356,0.7359743
-0.4229356,0.7359743
-0.3304287,0.6147413
-0.2333695,0.4873463
-0.1485182,0.3598793
-0.07195741,0.2264939
0.001394205,0.08753173
0.001394205,0.08753173
0.06400742,-0.05416164
0.1286775,-0.200706
0.1812236,-0.3472823
0.2231772,-0.4980928
0.2540301,-0.6524356
0.2725147,-0.8095278
0.2725147,-0.8095278
0.279207,-0.9686277
0.2859312,-1.128682
0.2806674,-1.288738
0.2634395,-1.448847
0.2634395,-1.448847
0.234366,-1.608125
0.2056353,-1.765721
0.1650079,-1.923323
0.1133294,-2.078454
0.05085235,-2.230449
0.05085235,-2.230449
-0.02187409,-2.378631
-0.09236816,-2.522461
-0.1392147,-2.534296
-0.1308908,-2.374495
-0.1212308,-2.214908
-0.1212308,-2.214908
-0.1102278,-2.055397
-0.09921723,-1.895972
-0.08686095,-1.736548
-0.07316586,-1.577223
-0.05813233,-1.418007
-0.05813233,-1.418007
-0.04176143,-1.258912
-0.02538391,-1.099948
-0.007660896,-0.9409871
0.01139419,-0.7821686
0.03177804,-0.6235042
0.03177804,-0.6235042
0.05348681,-0.4650046
0.07519839,-0.3066808
0.09825645,-0.1483605
0.1226341,0.009772867
0.1483276,0.1677087
0.1483276,0.1677087
0.1753339,0.3254364
0.2023363,0.4829451
0.2306835,0.6404483
0.2603363,0.797722
0.2603363,0.797722
0.2912923,0.9547556
0.3222376,1.111538
0.354529,1.268314
0.3881147,1.424828
0.4229892,1.58107
0.4591476,1.737031
0.4591476,1.737031
0.4965857,1.892701
0.5223437,1.852556
0.5408878,1.693418
0.5595867,1.534297
0.5794199,1.375194
0.5794199,1.375194
0.6003715,1.216227
0.6212783,1.057402
0.643316,0.8985745
0.6664605,0.7398967
0.6907086,0.5813757
0.6907086,0.5813757
0.7160554,0.4230192
0.7413434,0.264834
0.7677528,0.1066439
0.7952482,-0.05136813
0.8238251,-0.2091957
0.8238251,-0.2091957
0.853479,-0.3668319
0.8830587,-0.5242701
0.913748,-0.681715
0.9455034,-0.8389556
0.9455034,-0.8389556
0.9783176,-0.9959854
1.011046,-1.152799
1.044874,-1.30962
1.079752,-1.466219
1.115673,-1.622588
1.152632,-1.778723
1.152632,-1.778723
1.190624,-1.934616
1.228507,-2.090263
1.267478,-2.245921
1.307469,-2.401326
1.348475,-2.556474
1.348475,-2.556474
1.327039,-2.489266
1.277803,-2.337226
1.233752,-2.185205
1.199647,-2.031723
1.175757,-1.875729
1.175757,-1.875729
1.161939,-1.717769
1.147996,-1.558574
1.144421,-1.399381
1.151204,-1.239617
1.168354,-1.079957
1.168354,-1.079957
1.195796,-0.9210687
1.223026,-0.763599
1.26062,-0.6061351
1.308098,-0.4507054
1.368958,-0.2978811
1.368958,-0.2978811
1.438456,-0.1494308
1.506295,-0.004720628
1.584491,0.1399542
1.67084,0.280514
1.67084,0.280514
1.764849,0.4166478
1.855768,0.5481093
1.957018,0.6795074
2.061391,0.8060499
2.173418,0.9292852
2.288746,1.047482
2.288746,1.047482
2.410685,1.161804
2.527408,1.27104
2.64423,1.369994
2.766318,1.463044
2.766318,1.463044
2.893572,1.549677
3.025832,1.639521
3.158183,1.719092
3.295308,1.791209
3.436918,1.85537
3.582657,1.909749
3.582657,1.909749
3.732562,1.95539
3.885625,2.001797
4.038742,2.037945
3.968829,1.959738
3.848801,1.855535
3.848801,1.855535
3.72798,1.750756
3.607103,1.645733
3.486323,1.540905
3.365488,1.436141
3.244598,1.331439
3.244598,1.331439
3.123653,1.2268
3.002654,1.121917
2.881752,1.017228
