X,Y
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.5
-7.28377,-2.538259
-7.28377,-2.378455
-7.28377,-2.218651
-7.28377,-2.218651
-7.28377,-2.058847
-7.28377,-1.899044
-7.28377,-1.73924
-7.28377,-1.579436
-7.28377,-1.419632
-7.28377,-1.419632
-7.28377,-1.259829
-7.28377,-1.100025
-7.28377,-0.9402211
-7.28377,-0.7804173
-7.28377,-0.6206135
-7.28377,-0.6206135
-7.28377,-0.4608097
-7.28377,-0.3010059
-7.28377,-0.1412021
-7.341066,-0.0925477
-7.443216,-0.1803906
-7.443216,-0.1803906
-7.305212,-0.2653911
-7.168981,-0.3494967
-7.032836,-0.4387958
-6.899048,-0.5317928
-6.767669,-0.6283526
-6.767669,-0.6283526
-6.509821,-0.8285264
-6.509821,-0.8285264
-6.383483,-0.9268987
-6.257239,-1.025393
-6.131091,-1.129027
-6.131091,-1.129027
-6.00746,-1.235801
-5.88637,-1.340578
-5.765376,-1.450469
-5.646935,-1.563234
-5.531056,-1.678748
-5.41774,-1.796888
-5.41774,-1.796888
-5.311967,-1.912555
-5.203992,-2.030825
-5.101085,-2.149184
-5.002238,-2.270124
-4.905945,-2.394206
-4.905945,-2.394206
-4.812808,-2.520804
-4.696891,-2.550745
-4.573777,-2.451025
-4.449446,-2.347784
-4.326351,-2.243036
-4.326351,-2.243036
-4.204498,-2.136816
-4.083889,-2.031877
-3.963183,-1.92433
-3.843721,-1.815371
-3.725507,-1.705266
-3.725507,-1.705266
-3.608426,-1.5937
-3.492594,-1.48352
-3.376663,-1.370735
-3.261981,-1.256656
-3.148546,-1.141314
-3.148546,-1.141314
-3.039054,-1.027434
-2.92816,-0.9122932
-2.819864,-0.7972465
-2.712885,-0.6809396
-2.607258,-0.5633746
-2.607258,-0.5633746
-2.503009,-0.4445526
-2.397488,-0.324477
-2.29455,-0.2044868
-2.193048,-0.08324674
-2.092048,0.03923891
-2.092048,0.03923891
-1.99293,0.1624875
-1.892658,0.2869737
-1.794957,0.4113826
-1.6988,0.537021
-1.604218,0.6638831
-1.511243,0.7919604
-1.511243,0.7919604
-1.419904,0.9212443
-1.327581,1.051725
-1.237816,1.18214
-1.149747,1.313742
-1.149747,1.313742
-1.063404,1.446517
-0.9761791,1.580454
-0.8915052,1.714333
-0.8086178,1.849361
-0.728817,1.914634
-0.728817,1.914634
-0.6536984,1.771593
-0.5793076,1.629743
-0.5005639,1.48785
-0.4184964,1.347752
-0.3332214,1.209499
-0.2448049,1.073124
-0.2448049,1.073124
-0.1533484,0.9386749
-0.06335796,0.8061846
0.03094815,0.6736324
0.1281063,0.5430651
0.1281063,0.5430651
0.2280216,0.4145077
0.3262069,0.28798
0.4286883,0.1613785
0.5337419,0.03682054
0.6412785,-0.08568271
0.6412785,-0.08568271
0.7512084,-0.2061226
0.8590717,-0.3244945
0.9712056,-0.4429554
1.085562,-0.5593492
1.202054,-0.6736772
1.202054,-0.6736772
1.316247,-0.7815903
1.432536,-0.891681
1.548727,-0.9975278
1.667007,-1.101131
1.787365,-1.202411
1.787365,-1.202411
1.909788,-1.301293
2.034257,-1.402024
2.158631,-1.499118
2.284751,-1.59345
2.412877,-1.685162
2.412877,-1.685162
2.542981,-1.774173
2.675034,-1.864714
2.806995,-1.951086
2.940868,-2.034606
3.076616,-2.115197
3.076616,-2.115197
3.214197,-2.192783
3.353564,-2.271572
3.492847,-2.348097
3.633076,-2.42106
3.775013,-2.490835
3.775013,-2.490835
3.918601,-2.557349
4.053129,-2.575827
4.18915,-2.488859
4.323952,-2.403198
4.458993,-2.317911
4.458993,-2.317911
4.594272,-2.232826
4.729711,-2.147838
4.865238,-2.06332
5.001001,-1.979181
5.137001,-1.895419
5.137001,-1.895419
5.273235,-1.812037
5.409704,-1.728709
5.546259,-1.645853
5.683049,-1.563379
5.82007,-1.481288
5.82007,-1.481288
5.957324,-1.399584
6.094808,-1.317939
6.232378,-1.236766
6.370179,-1.155981
6.370179,-1.155981
6.508208,-1.075584
6.646465,-0.9952496
6.784807,-0.9153873
6.923375,-0.8359152
7.062168,-0.7568345
7.201186,-0.6781459
7.201186,-0.6781459
7.340427,-0.5998524
7.437683,-0.5245462
7.288278,-0.467291
7.138873,-0.4089636
7.138873,-0.4089636
6.989829,-0.3475207
6.841905,-0.2867362
6.693913,-0.2226748
6.547079,-0.1558682
6.401444,-0.08636447
6.257046,-0.01421019
6.257046,-0.01421019
6.11392,0.05913837
5.971529,0.1319138
5.829059,0.2079603
5.687908,0.2865286
5.548106,0.3675692
5.548106,0.3675692
5.409682,0.4510311
5.272662,0.5334507
5.135554,0.6191339
4.999871,0.7071372
4.865633,0.797416
4.865633,0.797416
4.732866,0.8899074
4.601582,0.9811689
4.470206,1.075689
4.340328,1.170815
4.211247,1.268544
4.211247,1.268544
4.083684,1.368311
3.957652,1.466684
3.831524,1.568307
3.706934,1.671868
3.58389,1.777314
3.58389,1.777314
3.462399,1.884597
3.360573,1.953264
3.367237,1.793386
3.372228,1.633328
3.373399,1.47321
3.373399,1.47321
3.370758,1.313018
3.36812,1.152843
3.361681,0.9926689
3.351452,0.8326018
3.337451,0.6727313
3.337451,0.6727313
3.3197,0.5131451
3.302011,0.3539298
3.280559,0.194712
3.255413,0.03594856
3.226606,-0.1222778
3.226606,-0.1222778
3.194173,-0.2798863
3.161925,-0.4367989
3.126655,-0.5937194
3.087806,-0.7500211
3.045454,-0.9054929
3.045454,-0.9054929
2.999647,-1.060064
2.954185,-1.213665
2.905028,-1.367283
2.852521,-1.519867
2.796717,-1.671356
2.796717,-1.671356
2.737672,-1.821689
2.679181,-1.970811
2.617027,-2.119959
