X,Y
-4.558631,-2.5
-4.558631,-2.5
-4.558635,-2.5
-4.558638,-2.5
-4.55864,-2.5
-4.558642,-2.5
-4.558643,-2.5
-4.558643,-2.5
-4.558644,-2.5
-4.558645,-2.5
-4.558646,-2.5
-4.558647,-2.5
-4.558647,-2.5
-4.558647,-2.5
-4.558648,-2.5
-4.558648,-2.532177
-4.558648,-2.372373
-4.558648,-2.212569
-4.558648,-2.052765
-4.558648,-2.052765
-4.558648,-1.892961
-4.558648,-1.733158
-4.558648,-1.573354
-4.558648,-1.41355
-4.558648,-1.41355
-4.558648,-1.253746
-4.558648,-1.093943
-4.558648,-0.9341388
-4.558648,-0.774335
-4.558648,-0.6145312
-4.558648,-0.4547274
-4.558648,-0.4547274
-4.558648,-0.2949236
-4.558648,-0.324724
-4.558648,-0.4849202
-4.558648,-0.6451164
-4.558648,-0.8053126
-4.558648,-0.8053126
-4.558648,-0.9655088
-4.558648,-1.125705
-4.558648,-1.285901
-4.558648,-1.446097
-4.558648,-1.606294
-4.558648,-1.606294
-4.558648,-1.76649
-4.558648,-1.926686
-4.558648,-2.086882
-4.558648,-2.247078
-4.558648,-2.407275
-4.558648,-2.407275
-4.558648,-2.567471
-4.509355,-2.472958
-4.449697,-2.324692
-4.395237,-2.176454
-4.348194,-2.026464
-4.348194,-2.026464
-4.308434,-1.873993
-4.268061,-1.719367
-4.235747,-1.564753
-4.211112,-1.408333
-4.194311,-1.250478
-4.194311,-1.250478
-4.185459,-1.091572
-4.17656,-0.9320163
-4.175715,-0.7724607
-4.179537,-0.6126592
-4.195301,-0.4529011
-4.195301,-0.4529011
-4.219054,-0.2938706
-4.242689,-0.1358221
-4.274378,0.0222221
-4.313851,0.1789035
-4.360949,0.3338594
-4.360949,0.3338594
-4.415481,0.4867482
-4.469233,0.6372529
-4.563092,0.9912765
-4.433966,0.7758077
-4.475974,0.9718649
-4.465729,1.011917
-4.45546,1.052068
-4.443856,1.097458
-4.380053,0.9876227
-4.478379,1.321745
-4.352422,1.096181
-4.404074,1.253166
-4.398012,1.276789
-4.389455,1.310209
-4.382696,1.336567
-4.321677,1.216969
-4.369557,1.387992
-4.362741,1.414574
-4.356629,1.43839
