X,Y
-4.751117,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.5
-4.751118,-2.52786
-4.751118,-2.368057
-4.751118,-2.208253
-4.751118,-2.048449
-4.751118,-2.048449
-4.751118,-1.888645
-4.751118,-1.728841
-4.751118,-1.569038
-4.751118,-1.409234
-4.751118,-1.24943
-4.751118,-1.089626
-4.751118,-1.089626
-4.751118,-0.9298225
-4.751118,-0.7700187
-4.751118,-0.6102149
-4.751118,-0.4504111
-4.751118,-0.4504111
-4.751118,-0.2906073
-4.751118,-0.1308035
-4.751118,0.02900031
-4.751118,0.1888041
-4.751118,0.3486079
-4.751118,0.3486079
-4.751118,0.5084117
-4.751118,0.4319408
-4.751118,0.2717445
-4.751118,0.1115483
-4.751118,-0.04864785
-4.751118,-0.04864785
-4.751118,-0.2088441
-4.751118,-0.3690403
-4.751118,-0.5292364
-4.751118,-0.6894326
-4.751118,-0.8496288
-4.751118,-0.8496288
-4.751118,-1.009825
-4.751118,-1.170021
-4.751118,-1.330217
-4.751118,-1.490414
-4.751118,-1.65061
-4.751118,-1.65061
-4.751118,-1.810806
-4.751118,-1.971002
-4.751118,-2.131198
-4.751118,-2.291395
-4.751118,-2.451591
-4.751118,-2.451591
-4.753146,-2.588838
-4.798936,-2.435726
-4.844781,-2.282631
-4.885588,-2.129552
-4.919815,-1.975147
-4.919815,-1.975147
-4.942311,-1.819135
-4.965146,-1.660969
-4.988009,-1.502807
-5.004392,-1.344649
-5.013916,-1.185697
-5.013916,-1.185697
-5.011752,-1.02618
-5.009581,-0.8663906
-5.007408,-0.7066016
-4.999158,-0.5468125
-4.98626,-0.3872215
-4.98626,-0.3872215
-4.959853,-0.2279377
-4.933684,-0.0702884
-4.907484,0.08735563
-4.873635,0.2449944
-4.832307,0.4012325
-4.786577,0.5557162
-4.786577,0.5557162
-4.729079,0.7089394
-4.672866,0.8585433
-4.616588,1.008123
-4.552548,1.157678
-4.552548,1.157678
-4.477749,1.304565
-4.405144,1.446947
-4.332459,1.589288
-4.253907,1.731589
-4.171543,1.871468
-4.171543,1.871468
-4.078105,2.009145
-3.988256,2.141339
-3.898316,2.273471
-3.802433,2.405541
-3.703628,2.534821
-3.599291,2.661748
-3.599291,2.661748
-3.485673,2.785152
-3.3773,2.902664
-3.268829,3.020086
-3.15582,3.137418
-3.15582,3.137418
-3.032081,3.252462
-2.914901,3.36121
-2.797624,3.469854
-2.680249,3.570875
-2.55898,3.669246
-2.434721,3.76521
-2.434721,3.76521
-2.308089,3.850696
-2.175478,3.940022
-2.042775,4.029213
-1.909585,4.09029
-1.909585,4.09029
-1.771439,3.998484
-1.638182,3.90973
-1.505015,3.82084
-1.371939,3.724791
-1.242202,3.625143
-1.242202,3.625143
-1.115311,3.514139
-0.9948863,3.408596
-0.8745592,3.302942
-0.7543293,3.190135
-0.6376479,3.074157
-0.6376479,3.074157
-0.5241688,2.94868
-0.4168479,2.829815
-0.3096245,2.710862
-0.2074848,2.591821
-0.1098342,2.470197
-0.1098342,2.470197
-0.0214126,2.345237
0.07100666,2.214432
0.1633335,2.083562
0.2491535,1.952626
0.2491535,1.952626
0.3243011,1.818613
0.4025568,1.67886
0.4859921,1.760315
0.5749599,1.896781
0.6681325,2.030617
0.766148,2.161733
0.766148,2.161733
0.8713821,2.289688
0.9730145,2.413067
1.074743,2.536367
1.180353,2.659587
1.290814,2.780876
1.290814,2.780876
1.409517,2.898974
1.522943,3.011625
1.636468,3.124177
1.75009,3.230851
1.866738,3.333941
1.866738,3.333941
1.986627,3.431952
2.110501,3.533024
2.234471,3.633978
2.358537,3.730379
2.48488,3.82185
2.48488,3.82185
2.61448,3.905542
2.74889,3.992144
2.88339,4.078608
3.024336,4.040136
3.163416,3.955874
3.163416,3.955874
3.30026,3.859219
3.430948,3.766715
3.561543,3.674081
3.692046,3.576346
3.820113,3.472207
3.820113,3.472207
3.944252,3.357694
4.061856,3.249012
4.179363,3.140225
4.296772,3.02484
4.410889,2.904547
4.410889,2.904547
4.509435,2.788274
4.612884,2.666019
4.716236,2.543682
4.8128,2.421264
4.905295,2.295445
4.905295,2.295445
4.98797,2.166336
5.074253,2.031397
5.160446,1.896402
5.241168,1.76135
5.317184,1.675558
5.317184,1.675558
5.412426,1.812302
5.50387,1.943398
5.595407,2.074431
5.691606,2.2054
5.791687,2.334155
5.791687,2.334155
5.900433,2.460285
6.004911,2.581268
6.109486,2.702167
6.219379,2.822982
6.333327,2.941147
6.333327,2.941147
6.452501,3.056124
6.567648,3.167019
6.682893,3.277812
6.798236,3.382412
6.916758,3.485027
6.916758,3.485027
7.03772,3.577933
7.164612,3.675196
7.291599,3.772336
7.418681,3.863065
7.5489,3.950555
7.5489,3.950555
7.681708,4.03043
7.816997,4.087928
7.948111,3.996031
8.079133,3.897712
7.951158,3.799121
7.951158,3.799121
7.824409,3.706914
7.695024,3.612594
7.565732,3.518145
7.436533,3.426373
7.306091,3.336346
7.306091,3.336346
7.174409,3.250969
7.040157,3.16373
6.905994,3.076353
6.771922,2.991653
6.636654,2.908907
6.636654,2.908907
6.500166,2.83018
6.361569,2.750041
6.223057,2.669754
6.08463,2.591336
5.945416,2.515731
5.945416,2.515731
5.804813,2.444085
5.662255,2.371245
5.519775,2.29825
5.377376,2.227499
5.234087,2.159247
5.234087,2.159247
5.089637,2.095384
4.943301,2.03049
4.797038,1.965433
4.650847,1.903347
4.503578,1.843014
4.503578,1.843014
4.355521,1.78809
4.20551,1.732246
4.055563,1.676229
3.90568,1.621494
3.755388,1.568745
3.755388,1.568745
3.604417,1.520526
3.519734,1.492221
3.674081,1.534178
3.828478,1.57339
3.983555,1.611713
3.983555,1.611713
4.138883,1.648734
4.294523,1.685635
4.450207,1.722349
4.605936,1.758344
4.761826,1.793313
4.761826,1.793313
4.917946,1.826793
5.074389,1.860145
5.230872,1.89331
5.387395,1.925721
5.544072,1.957149
5.544072,1.957149
5.700947,1.987128
5.858103,2.016965
6.015295,2.046613
6.172523,2.07538
6.32991,2.103353
6.32991,2.103353
6.487442,2.129749
6.645242,2.155994
6.803074,2.182048
6.960938,2.207157
7.118951,2.231538
7.118951,2.231538
7.27708,2.254153
7.435469,2.276609
7.593884,2.298872
7.752327,2.320404
7.91087,2.340637
7.91087,2.340637
8.069583,2.359337
7.910682,2.377863
7.751759,2.396196
7.592813,2.415019
7.433923,2.434283
7.433923,2.434283
7.275086,2.454652
7.116385,2.474806
6.95766,2.494768
6.798911,2.515374
6.640242,2.536511
6.640242,2.536511
6.481643,2.558834
6.323205,2.580938
6.164739,2.602849
6.006247,2.625436
5.847847,2.648548
5.847847,2.648548
5.689524,2.67289
5.531383,2.697008
5.373211,2.720934
5.215011,2.745554
5.215011,2.745554
4.898818,2.796615
4.898818,2.796615
4.740849,2.82183
4.582849,2.846854
4.424819,2.871687
4.266758,2.896895
4.266758,2.896895
4.108755,2.923391
3.950958,2.949656
3.793129,2.975731
3.635269,3.002158
3.477465,3.02918
3.319761,3.056703
3.319761,3.056703
3.162143,3.085298
3.004713,3.113662
2.847248,3.141837
2.68975,3.170358
2.68975,3.170358
2.53231,3.20023
2.375115,3.229859
2.217883,3.259298
2.060616,3.289376
1.903465,3.319983
1.746415,3.350889
1.746415,3.350889
1.589426,3.382982
1.432668,3.414832
1.275872,3.446493
1.119038,3.478623
1.119038,3.478623
0.962293,3.512029
0.8058075,3.545184
0.6492821,3.578151
0.492717,3.61173
0.3362747,3.645642
0.3362747,3.645642
0.1799062,3.680704
0.02378291,3.715515
-0.1323822,3.750139
-0.2885889,3.785167
-0.4447117,3.82074
-0.4447117,3.82074
-0.6007135,3.857402
-0.75647,3.893811
-0.9122702,3.930033
-1.068114,3.966383
-1.223931,4.002981
-1.223931,4.002981
-1.379693,4.040833
-1.535168,4.078419
-1.685204,4.096797
-1.833197,4.036594
-1.981404,3.976948
-1.981404,3.976948
-2.129834,3.91995
-2.2792,3.862396
-2.4285,3.804671
-2.577734,3.748713
-2.727548,3.694176
-2.727548,3.694176
-2.877896,3.642442
-3.02919,3.590186
-3.180423,3.537755
-3.331596,3.486566
-3.483143,3.437586
-3.483143,3.437586
-3.635389,3.390453
-3.788232,3.342939
-3.94102,3.295245
-4.093751,3.249595
-4.24705,3.205073
-4.24705,3.205073
-4.554353,3.122465
-4.554353,3.122465
-4.708843,3.080641
-4.863283,3.038634
-5.017674,2.996445
-5.017674,2.996445
-5.172015,2.95713
-5.327064,2.917438
-5.482066,2.877563
-5.63702,2.838729
-5.792221,2.801249
-5.792221,2.801249
-5.94775,2.766783
-6.10396,2.73197
-6.260129,2.69697
-6.416256,2.663478
-6.572697,2.631472
-6.572697,2.631472
-6.72945,2.602433
-6.886773,2.573093
-7.044061,2.543563
-7.201314,2.51578
-7.358874,2.489331
-7.358874,2.489331
-7.516666,2.466022
-7.674948,2.442445
-7.833202,2.418676
-7.991427,2.396294
-7.990307,2.375081
-7.990307,2.375081
-7.831723,2.350136
-7.673666,2.325078
-7.51564,2.299829
-7.357644,2.272674
-7.199956,2.243805
-7.042572,2.213421
-7.042572,2.213421
-6.885472,2.179265
-6.729125,2.145076
-6.572819,2.110699
-6.416553,2.074536
-6.416553,2.074536
-6.260673,2.034958
-6.105594,1.995387
-5.950561,1.955632
-5.795576,1.914094
-5.64103,1.870818
-5.64103,1.870818
-5.486957,1.824133
-5.333832,1.777539
-5.180761,1.730765
-5.027746,1.682441
-4.875174,1.632157
-4.875174,1.632157
-4.723214,1.578621
-4.572305,1.52526
-4.421458,1.471724
-4.270672,1.415333
-4.12081,1.357758
