X,Y
-5.590042,-2.5
-5.590042,-2.5
-5.590043,-2.5
-5.590043,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.5
-5.590044,-2.529626
-5.590044,-2.369822
-5.590044,-2.210018
-5.590044,-2.050215
-5.590044,-1.890411
-5.590044,-1.890411
-5.590044,-1.730607
-5.590044,-1.570803
-5.590044,-1.688375
-5.590044,-1.848572
-5.590044,-2.008768
-5.590044,-2.008768
-5.590044,-2.168964
-5.590044,-2.32916
-5.590044,-2.489357
-5.590044,-2.551072
-5.590044,-2.391268
-5.590044,-2.231464
-5.590044,-2.231464
-5.590044,-2.07166
-5.590044,-1.911857
-5.590044,-1.752053
-5.590044,-1.592249
-5.590044,-1.592249
-5.590044,-1.432445
-5.590044,-1.272642
-5.590044,-1.112838
-5.590044,-0.953034
-5.590044,-0.953034
-5.590044,-0.7932302
-5.590044,-0.6334264
-5.590044,-0.4736226
-5.590044,-0.3138188
-5.590044,-0.154015
-5.590044,-0.1056326
-5.590044,-0.2658288
-5.590044,-0.2658288
-5.590044,-0.426025
-5.590044,-0.5862212
-5.590044,-0.7464173
-5.590044,-0.9066135
-5.590044,-1.06681
-5.590044,-1.06681
-5.590044,-1.227006
-5.590044,-1.387202
-5.590044,-1.547398
-5.590044,-1.707595
-5.590044,-1.707595
-5.590044,-1.867791
-5.590044,-2.027987
-5.590044,-2.188183
-5.590044,-2.34838
-5.590044,-2.508576
-5.590044,-2.531853
-5.590044,-2.531853
-5.590044,-2.372049
-5.590044,-2.212245
-5.590044,-2.052441
-5.590044,-1.892637
-5.590044,-1.732834
-5.590044,-1.732834
-5.590044,-1.57303
-5.590044,-1.413226
-5.590044,-1.253422
-5.590044,-1.093619
-5.590044,-0.9338148
-5.590044,-0.9338148
-5.590044,-0.774011
-5.590044,-0.6142072
-5.590044,-0.4544034
-5.590044,-0.2945996
-5.590044,-0.2945996
-5.590044,-0.1347958
-5.590044,0.02500799
-5.590044,0.1848118
-5.590044,0.3446156
-5.590044,0.5044194
-5.590044,0.6642232
-5.590044,0.6642232
-5.590044,0.824027
-5.590044,0.9838308
-5.590044,1.143635
-5.590044,1.303438
-5.590044,1.303438
-5.590044,1.437383
-5.590044,1.277187
-5.590044,1.116991
-5.590044,0.9567945
-5.590044,0.7965983
-5.590044,0.7965983
-5.590044,0.6364021
-5.590044,0.4762059
-5.590044,0.3160098
-5.590044,0.1558136
-5.590044,-0.00438264
-5.590044,-0.1645788
-5.590044,-0.1645788
-5.590044,-0.324775
-5.590044,-0.4849712
-5.590044,-0.6451674
-5.590044,-0.8053636
-5.590044,-0.8053636
-5.590044,-0.9655598
-5.590044,-1.125756
