X,Y
4.920008,-2.5
4.920011,-2.5
4.920013,-2.5
4.920015,-2.5
4.920015,-2.5
4.920017,-2.5
4.920019,-2.5
4.92002,-2.5
4.920021,-2.5
4.920021,-2.5
4.920021,-2.5
4.920022,-2.5
4.920022,-2.5
4.920022,-2.5
4.920022,-2.533746
4.920022,-2.533746
4.920022,-2.373942
4.920022,-2.214139
4.920022,-2.054335
4.920022,-1.894531
4.920022,-1.734727
4.920022,-1.574923
4.920022,-1.574923
4.920022,-1.41512
4.920022,-1.255316
4.920022,-1.095512
4.920022,-0.9357083
4.920022,-0.7759045
4.920022,-0.7759045
4.920022,-0.6161007
4.920022,-0.4562969
4.920022,-0.2964931
4.920022,-0.1366893
4.920022,0.02311447
4.920022,0.02311447
4.907361,0.1614582
4.907361,0.1614582
4.885093,0.002819106
4.862853,-0.1558238
4.840639,-0.3144704
4.840639,-0.3144704
4.818452,-0.4731208
4.796292,-0.631775
4.774159,-0.790433
4.752053,-0.9490947
4.729973,-1.10776
4.729973,-1.10776
4.707921,-1.266429
4.685894,-1.425102
4.663896,-1.583779
4.641923,-1.742459
4.641923,-1.742459
4.619977,-1.901143
4.598058,-2.059831
4.576165,-2.218522
4.554299,-2.377217
4.53246,-2.535916
4.552192,-2.506007
4.552192,-2.506007
4.601802,-2.354088
4.65147,-2.202189
4.691904,-2.050308
4.723783,-1.89589
4.723783,-1.89589
4.746856,-1.73939
4.770193,-1.581297
4.784303,-1.423209
4.789282,-1.264039
4.785047,-1.104313
4.785047,-1.104313
4.771577,-0.9445654
4.758135,-0.7853273
4.734015,-0.6260906
4.700853,-0.4680914
4.658795,-0.3116995
4.608062,-0.1573852
4.608062,-0.1573852
4.548919,-0.005585164
4.490834,0.1433029
4.423528,0.2921652
4.32818,0.1476706
4.244918,0.01685007
4.244918,0.01685007
4.168137,-0.1183261
4.089113,-0.2576455
4.016769,-0.3970127
3.952155,-0.5392166
3.952155,-0.5392166
3.895057,-0.6850808
3.836735,-0.8342687
3.787553,-0.9834827
3.746531,-1.135637
3.713935,-1.290317
3.689988,-1.447075
3.689988,-1.447075
3.674861,-1.605436
3.659647,-1.764907
3.653468,-1.92438
3.658443,-2.084456
3.672413,-2.244576
3.672413,-2.244576
3.695311,-2.404166
3.718036,-2.56274
3.679461,-2.479306
3.619427,-2.331162
3.559245,-2.183071
3.559245,-2.183071
3.502156,-2.035039
3.444585,-1.885952
3.390091,-1.736891
3.3369,-1.586814
3.286589,-1.436202
3.286589,-1.436202
3.239028,-1.284641
3.191122,-1.132178
3.146287,-0.9797317
3.104266,-0.8264289
3.065093,-0.6723168
3.065093,-0.6723168
3.028796,-0.5174442
2.992287,-0.3618614
2.958985,-0.2062889
2.928602,-0.05002961
2.901171,0.1068328
2.901171,0.1068328
2.876712,0.2642449
2.848528,0.3704008
2.799072,0.2170681
2.746865,0.06459668
2.691943,-0.08697167
2.691943,-0.08697167
2.635515,-0.2375966
2.579384,-0.3876239
2.520236,-0.5376753
2.458484,-0.6867245
2.394167,-0.8347365
2.394167,-0.8347365
2.32733,-0.9816769
2.261084,-1.127515
2.192894,-1.273386
2.122075,-1.418527
2.050322,-1.562519
2.050322,-1.562519
1.975904,-1.70592
1.902205,-1.848132
1.825536,-1.990385
1.746578,-2.131428
1.665376,-2.271235
1.665376,-2.271235
1.581975,-2.409788
