X,Y
0.596078,-2.5
0.5963775,-2.5
0.596617,-2.5
0.5968087,-2.5
0.596962,-2.5
0.596962,-2.5
0.5970846,-2.5
0.5971828,-2.5
0.5972613,-2.5
0.5973241,-2.5
0.5973743,-2.5
0.5973743,-2.5
0.5974145,-2.5
0.5974466,-2.5
0.5974724,-2.5
0.5974929,-2.5
0.5974929,-2.5
0.5975094,-2.5
0.5975226,-2.5
0.5975331,-2.5
0.5975331,-2.530607
0.5975331,-2.370803
0.5975331,-2.370803
0.5975331,-2.308375
0.5975331,-2.468572
0.5975332,-2.571857
0.5975342,-2.412053
0.5975351,-2.252249
0.5975351,-2.252249
0.5975361,-2.092445
0.597537,-1.932642
0.597538,-1.772838
0.5975389,-1.613034
0.5975389,-1.613034
0.5975399,-1.45323
0.570546,-1.457023
0.5194253,-1.608833
0.4670379,-1.760663
0.4135263,-1.912109
0.3588993,-2.063164
0.3588993,-2.063164
0.3031639,-2.213824
0.2476502,-2.364081
0.190881,-2.514361
0.1402097,-2.536391
0.09883049,-2.382161
0.09883049,-2.382161
0.0577985,-2.227823
0.01668935,-2.07339
-0.02525144,-1.918971
-0.06796864,-1.764761
-0.1114625,-1.610763
-0.1114625,-1.610763
-0.155731,-1.456983
-0.1999925,-1.303423
-0.2573353,-1.270344
-0.3349656,-1.410809
-0.4129485,-1.551041
-0.4129485,-1.551041
-0.4936082,-1.691071
-0.5734699,-1.829911
-0.6561396,-1.9688
-0.7408658,-2.106484
-0.8276073,-2.242946
-0.8276073,-2.242946
-0.9163228,-2.378172
-1.004089,-2.512148
-1.089761,-2.554441
-1.165359,-2.414858
-1.240692,-2.274363
-1.240692,-2.274363
-1.315439,-2.133551
-1.390458,-1.992424
-1.464697,-1.85134
-1.538346,-1.709943
-1.611399,-1.568235
-1.611399,-1.568235
-1.683853,-1.426216
-1.756565,-1.283889
-1.828498,-1.141602
-1.900144,-0.9990082
-1.974486,-0.8833467
-1.974486,-0.8833467
-2.077994,-1.006479
-2.180949,-1.129151
-2.288254,-1.251903
-2.397999,-1.372562
-2.510092,-1.491122
-2.510092,-1.491122
-2.624447,-1.607581
-2.736548,-1.721941
-2.852976,-1.836397
-2.967075,-1.944341
-2.967075,-1.944341
-3.083304,-2.05008
-3.201656,-2.157947
-3.31991,-2.261514
-3.440274,-2.362725
-3.562734,-2.460072
-3.562734,-2.460072
-3.687982,-2.555439
-3.845756,-2.547401
-3.988022,-2.470201
-4.128651,-2.381938
-4.26417,-2.284943
-4.394279,-2.179894
-4.394279,-2.179894
-4.518767,-2.067466
-4.63751,-1.960423
-4.756351,-1.841403
-4.858921,-1.728376
-4.858921,-1.728376
-4.954381,-1.610087
-5.054864,-1.485772
-5.143403,-1.361533
-5.224234,-1.231432
-5.296658,-1.095722
-5.296658,-1.095722
-5.359985,-0.9547616
-5.425553,-0.8090097
-5.479215,-0.6632909
-5.519578,-0.5133442
-5.549212,-0.35904
-5.567446,-0.2021078
-5.567446,-0.2021078
-5.573979,-0.04337308
-5.58056,0.1162954
-5.575243,0.2759635
-5.558024,0.4356786
-5.528992,0.5945606
-5.528992,0.5945606
-5.488204,0.7517584
-5.448021,0.906434
-5.395943,1.061097
-5.333049,1.212536
-5.259858,1.360103
