X,Y
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.5
-5.064319,-2.536297
-5.064319,-2.376493
-5.064319,-2.216689
-5.064319,-2.056885
-5.064319,-2.056885
-5.064319,-1.897081
-5.064319,-1.737278
-5.064319,-1.577474
-5.064319,-1.41767
-5.064319,-1.257867
-5.064319,-1.098063
-5.064319,-1.098063
-5.064319,-0.9382589
-5.064319,-0.7784551
-5.064319,-0.6186513
-5.064319,-0.4588475
-5.064319,-0.4588475
-5.064319,-0.2990437
-5.064319,-0.1392399
-5.064319,0.02056387
-5.064319,0.1803677
-5.064319,0.3401715
-5.064319,0.3401715
-5.064319,0.4999753
-5.064319,0.6597791
-5.064319,0.8195829
-5.064319,0.9793867
-5.064319,1.13919
-5.064319,1.13919
-5.064319,1.298994
-5.064319,1.458798
-5.064319,1.618602
-5.064319,1.778405
-5.064319,1.938209
-5.064319,1.938209
-5.064319,1.802612
-5.064319,1.482024
-5.064319,1.482024
-5.064319,1.321827
-5.064319,1.161631
-5.064319,1.161631
-5.064319,1.001435
-5.064319,0.8412389
-5.064319,0.6810427
-5.064319,0.5208465
-5.064319,0.3606503
-5.064319,0.2004541
-5.064319,0.2004541
-5.064319,0.0402579
-5.064319,-0.1199383
-5.064319,-0.2801345
-5.064319,-0.4403307
-5.064319,-0.4403307
-5.064319,-0.6005269
-5.064319,-0.7607231
-5.064319,-0.9209192
-5.064319,-1.081115
-5.064319,-1.241312
-5.064319,-1.241312
-5.064319,-1.401508
-5.064319,-1.561704
-5.064319,-1.7219
-5.064319,-1.882096
-5.064319,-2.042293
-5.064319,-2.202489
-5.064319,-2.202489
-5.064319,-2.362685
-5.064319,-2.522882
-5.105452,-2.522798
-5.176747,-2.379757
-5.24654,-2.236755
-5.24654,-2.236755
-5.315137,-2.093162
-5.384107,-1.948987
-5.451579,-1.804848
-5.517836,-1.660134
-5.582869,-1.514854
-5.582869,-1.514854
-5.646667,-1.369013
-5.710793,-1.222622
-5.773423,-1.076262
-5.834803,-0.9293606
-5.894924,-0.7819254
-5.894924,-0.7819254
-5.953776,-0.633966
-6.012911,-0.4854912
-6.070554,-0.3370433
-6.126912,-0.1880894
-6.181974,-0.03863899
-6.235734,0.1112991
-6.235734,0.1112991
-6.28818,0.2617148
-6.340858,0.4125982
-6.392047,0.5634602
-6.441908,0.7147795
-6.441908,0.7147795
-6.490434,0.8665462
-6.539163,1.018749
-6.586403,1.170934
-6.632295,1.323545
-6.676829,1.476571
-6.676829,1.476571
-6.719997,1.630001
-6.763331,1.783825
-6.805179,1.937635
-6.84565,2.091826
-6.884736,2.246388
-6.884736,2.246388
-6.922429,2.401309
-6.960254,2.556577
-6.996593,2.711835
-7.017388,2.853286
-7.025575,2.997246
-7.025575,2.997246
-7.018993,3.14265
-6.997615,3.288148
-6.958692,3.43211
